Home Team,Home Score,Visitor Score,Visiting Team
Northwestern State,28,62,Tulsa Golden Hurricane
Southeastern Louisiana,0,52,Tulane Green Wave
Arkansas-Pine B.,0,70,Arkansas Razorbacks
Duquesne D.,10,49,Toledo Rockets
Central Connecticut State,10,66,Central Michigan Chippewas
Fordham,17,41,Bowling Green Falcons
Jackson State,14,30,Louisiana-Monroe Warhawks
Lafayette Leopards,13,30,Buffalo Bulls
N. Carolina A&T,13,45,Wake Forest Demon Deacons
New Hampshire,3,57,UCF Knights
Western Carolina Catamounts,21,38,NC State Wolfpack
Howard Bison,7,44,Rutgers Scarlet Knights
Delaware State Hornets,14,35,Hawaii Warriors
SMU Mustangs,29,24,Nevada Wolf Pack
Montana,35,31,New Mexico Lobos
Florida State Seminoles,21,24,Georgia Tech Yellow Jackets
