Home Team,Home Score,Visitor Score,Visiting Team
Syracuse Orange,24,17,NC State Wolfpack
Vanderbilt Commodores,20,13,Kentucky Wildcats
Appalachian State,24,34,Louisiana-Lafayette Ragin' Cajuns
Ohio State Buckeyes,31,32,Oregon Ducks
Ole Miss Rebles,26,29,LSU Tigers
Oregon State Beavers,37,42,Nevada Wolf Pack
Air Force Falcons,37,52,New Mexico Lobos
Arkansas State Red Wolves,9,41,Texas State Bobcats
Florida Gators,17,23,Tennessee Volunteers
North Texas Mean Green,41,37,Florida Atlantic Owls
UTSA,27,29,Rice Owls
Washington State Cougars,25,17,Fresno State Bulldogs
Southern Miss Golden Eagles,21,38,Louisiana-Monroe Warhawks
Mississippi State Bulldogs,31,41,Georgia Bulldogs
Arizona Wildcats,19,41,Brigham Young Cougars
Ohio Bobcats,27,25,Central Michigan Chippewas
Akron Zips,24,34,Western Michigan Broncos
Cal Golden Bears,15,17,Pittsburgh Panthers
Cincinnati Bearcats,19,13,UCF Knights
Louisville Cardinals,24,20,Virginia Cavaliers
Memphis Tigers,21,3,South Florida Bulls
Northern Illinois Huskies,17,7,Bowling Green Falcons
Old Dominion,21,14,Georgia State Panthers
Penn State Nittany Lions,33,30,USC Trojans
Purdue Boilermakers,49,50,Illinois Fighting Illini
San Diego State Aztecs,27,24,Wyoming Cowboys
San Jose State Spartans,24,31,Colorado State Rams
Stanford Cardinal,7,49,Notre Dame Fighting Irish
Texas Longhorns,34,3,Oklahoma Sooners
Miami RedHawks,38,14,Eastern Michigan Eagles
Ball State Cardinals,37,35,Kent State Golden Flashes
Clemson Tigers,49,14,Wake Forest Demon Deacons
Georgia Tech Yellow Jackets,41,34,North Carolina Tar Heels
Missouri Tigers,45,3,UMass Minutemen
South Carolina Gamecocks,25,27,Alabama Crimson Tide
Toledo Rockets,15,30,Buffalo Bulls
UAB Blazers,10,44,Army Black Knight
Washington Huskies,16,40,Iowa Hawkeyes
Wisconsin Badgers,42,7,Rutgers Scarlet Knights
Utah Utes,19,27,Arizona State Sun Devils
UNLV Rebels,50,34,Utah State Aggies
Northwestern Wildcats,37,10,Maryland Terrapins
Middle Tennessee St. Blue Raiders,21,48,Louisiana Tech Bulldogs
UTEP Miners,17,44,Western Kentucky Hilltoppers
Coastal Carolina Chanticleers,7,39,James Madison
New Mexico State Aggies,13,54,Jacksonville State
FIU Golden Panthers,24,31,Liberty Flames
Texas Tech Red Raiders,28,22,Arizona Wildcats
Miami Hurricanes,39,38,Cal Golden Bears
Duke Blue Devils,14,24,Georgia Tech Yellow Jackets
Hawaii Warriors,24,27,San Diego State Aztecs
Kansas Jayhawks,31,35,Arizona State Sun Devils
UCF Knights,13,24,Florida Gators
Baylor Bears,21,43,Iowa State Cyclones
Michigan Wolverines,17,27,Washington Huskies
Nevada Wolf Pack,31,35,San Jose State Spartans
Tennessee Volunteers,14,19,Arkansas Razorbacks
USC Trojans,17,24,Minnesota Golden Gophers
Clemson Tigers,29,13,Florida State Seminoles
James Madison,19,21,Louisiana-Monroe Warhawks
Louisiana-Lafayette Ragin' Cajuns,23,13,Southern Miss Golden Eagles
Old Dominion,37,45,Coastal Carolina Chanticleers
South Alabama,16,18,Arkansas State Red Wolves
Utah State Aggies,30,62,Boise State Broncos
Colorado State Rams,31,39,Oregon State Beavers
Alabama Crimson Tide,35,40,Vanderbilt Commodores
Rutgers Scarlet Knights,7,14,Nebraska Cornhuskers
West Virginia Mountaineers,38,14,Oklahoma State Cowboys
Appalachian State,37,52,Marshall Thundering Herd
Auburn Tigers,13,31,Georgia Bulldogs
Bowling Green Falcons,27,20,Akron Zips
East Carolina Pirates,24,55,Charlotte
Indiana Hoosiers,41,24,Northwestern Wildcats
Iowa Hawkeyes,7,35,Ohio State Buckeyes
Miami RedHawks,20,30,Toledo Rockets
Ole Miss Rebles,27,3,South Carolina Gamecocks
Temple Owls,20,29,Connecticut Huskies
Virginia Tech Hokies,31,7,Stanford Cardinal
Western Michigan Broncos,45,42,Ball State Cardinals
Tulane Green Wave,71,20,UAB Blazers
Army Black Knight,49,7,Tulsa Golden Hurricane
Boston College Eagles,14,24,Virginia Cavaliers
Missouri Tigers,10,41,Texas A&M Aggies
Navy Midshipmen,34,7,Air Force Falcons
Pittsburgh Panthers,34,24,North Carolina Tar Heels
Purdue Boilermakers,6,52,Wisconsin Badgers
SMU Mustangs,34,27,Louisville Cardinals
UCLA Bruins,11,27,Penn State Nittany Lions
UMass Minutemen,20,34,Northern Illinois Huskies
Wake Forest Demon Deacons,34,30,NC State Wolfpack
Michigan State Spartans,10,31,Oregon Ducks
Syracuse Orange,44,41,UNLV Rebels
Houston Cougars,30,19,TCU Horned Frogs
Jacksonville State,63,24,Kennesaw State
Sam Houston State,41,21,UTEP Miners
Texas State Bobcats,38,17,Troy Trojans
Oregon Ducks,34,13,UCLA Bruins
Arizona Wildcats,23,10,Utah Utes
Washington State Cougars,24,45,Boise State Broncos
Air Force Falcons,19,31,Wyoming Cowboys
Cincinnati Bearcats,41,44,Texas Tech Red Raiders
Florida State Seminoles,16,42,SMU Mustangs
New Mexico Lobos,50,40,New Mexico State Aggies
South Alabama,10,42,LSU Tigers
Georgia Bulldogs,34,41,Alabama Crimson Tide
Illinois Fighting Illini,7,21,Penn State Nittany Lions
Middle Tennessee St. Blue Raiders,7,24,Memphis Tigers
Ohio State Buckeyes,38,7,Michigan State Spartans
Charlotte,21,20,Rice Owls
Iowa State Cyclones,20,0,Houston Cougars
Louisiana-Monroe Warhawks,13,9,Troy Trojans
Stanford Cardinal,14,40,Clemson Tigers
Tulsa Golden Hurricane,20,52,North Texas Mean Green
Louisiana Tech Bulldogs,10,17,FIU Golden Panthers
UT Martin Skyhawks,24,13,Kennesaw State
Wagner,10,41,Florida Atlantic Owls
Old Dominion,30,27,Bowling Green Falcons
Mississippi State Bulldogs,13,35,Texas Longhorns
North Carolina Tar Heels,20,21,Duke Blue Devils
UTSA,20,30,East Carolina Pirates
Akron Zips,10,30,Ohio Bobcats
Arkansas Razorbacks,17,21,Texas A&M Aggies
Colorado Buffaloes,48,21,UCF Knights
Eastern Michigan Eagles,52,33,Kent State Golden Flashes
Fresno State Bulldogs,14,59,UNLV Rebels
Georgia Southern,38,21,Georgia State Panthers
Louisiana-Lafayette Ragin' Cajuns,41,38,Wake Forest Demon Deacons
Louisville Cardinals,24,31,Notre Dame Fighting Irish
Oklahoma Sooners,27,21,Auburn Tigers
San Diego State Aztecs,21,22,Central Michigan Chippewas
TCU Horned Frogs,38,27,Kansas Jayhawks
UMass Minutemen,20,23,Miami RedHawks
Western Michigan Broncos,20,27,Marshall Thundering Herd
Wisconsin Badgers,21,38,USC Trojans
Texas State Bobcats,39,40,Sam Houston State
Ball State Cardinals,7,63,James Madison
Brigham Young Cougars,34,28,Baylor Bears
Buffalo Bulls,3,47,Connecticut Huskies
Holy Cross Crusaders,14,42,Syracuse Orange
Kentucky Wildcats,20,17,Ole Miss Rebles
Maryland Terrapins,28,42,Indiana Hoosiers
Minnesota Golden Gophers,24,27,Michigan Wolverines
Navy Midshipmen,41,18,UAB Blazers
Nebraska Cornhuskers,28,10,Purdue Boilermakers
Northern Illinois Huskies,17,24,NC State Wolfpack
Oklahoma State Cowboys,20,42,Kansas State Wildcats
South Florida Bulls,10,45,Tulane Green Wave
Western Kentucky Hilltoppers,20,21,Boston College Eagles
Washington Huskies,18,21,Rutgers Scarlet Knights
Virginia Tech Hokies,34,38,Miami Hurricanes
Army Black Knight,42,14,Temple Owls
Northern Iowa,7,36,Hawaii Warriors
Kansas State Wildcats,9,38,Brigham Young Cougars
Portland State,14,56,Boise State Broncos
Fresno State Bulldogs,38,21,New Mexico Lobos
